latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.38473,125.2279,319.64,1.04,1.02,2023/6/9,126,T,33,6.1NRT,300.72,9.93,D
-20.39829,125.25576,313.89,1.04,1.02,2023/6/9,126,T,50,6.1NRT,299,5.67,D
-20.55026,124.79976,313.03,1.07,1.03,2023/6/9,126,T,35,6.1NRT,295.28,7.43,D
-20.55944,124.7982,312.23,1.07,1.03,2023/6/9,126,T,52,6.1NRT,293.44,6.9,D
-20.56099,124.80828,317.68,1.07,1.03,2023/6/9,126,T,70,6.1NRT,294.83,11.65,D
-20.5687,124.85856,314.53,1.06,1.03,2023/6/9,126,T,48,6.1NRT,295.52,7.69,D
-20.55582,124.66758,347.71,1.08,1.04,2023/6/9,126,T,94,6.1NRT,295.47,58.04,D
-20.55742,124.67773,358.85,1.08,1.04,2023/6/9,126,T,99,6.1NRT,299.05,85.03,D
-20.55901,124.68787,365.93,1.08,1.04,2023/6/9,126,T,100,6.1NRT,300.63,107.27,D
-20.56823,124.68631,333.85,1.08,1.04,2023/6/9,126,T,86,6.1NRT,296.15,29.79,D
-20.6531,125.23398,318.86,1.04,1.02,2023/6/9,126,T,72,6.1NRT,300.72,10.33,D
-20.6546,125.24377,315.09,1.03,1.02,2023/6/9,126,T,58,6.1NRT,298.56,7.01,D
-20.57744,124.68474,320.08,1.08,1.04,2023/6/9,126,T,33,6.1NRT,294.32,11.37,D
-20.60397,124.79444,310.41,1.07,1.03,2023/6/9,126,T,45,6.1NRT,294.94,4.98,D
-20.62248,124.8532,311.18,1.06,1.03,2023/6/9,126,T,35,6.1NRT,295.84,3.8,D
-20.61138,124.72062,326.61,1.07,1.03,2023/6/9,126,T,81,6.1NRT,297.41,19.89,D
-20.61295,124.73075,324.19,1.07,1.03,2023/6/9,126,T,78,6.1NRT,298.46,16.76,D
-20.61451,124.74087,315.48,1.07,1.03,2023/6/9,126,T,53,6.1NRT,297.59,8.08,D
-20.80536,125.02408,313.5,1.05,1.02,2023/6/9,126,T,64,6.1NRT,297.7,7.3,D
-20.83718,125.0491,313.14,1.04,1.02,2023/6/9,126,T,59,6.1NRT,297.28,6.41,D
-20.88249,125.10204,317.67,1.04,1.02,2023/6/9,126,T,64,6.1NRT,297.67,9.48,D
-20.8839,125.05521,334.52,1.04,1.02,2023/6/9,126,T,87,6.1NRT,297.72,31.39,D
-20.88543,125.06506,328.18,1.04,1.02,2023/6/9,126,T,83,6.1NRT,299,22.21,D
-20.89151,125.10446,311.25,1.04,1.02,2023/6/9,126,T,34,6.1NRT,297.41,4.66,D
-20.8945,125.06351,311.43,1.04,1.02,2023/6/9,126,T,50,6.1NRT,296,5.3,D
